game_id,home_qb_id,away_qb_id,home_qb_name,away_qb_name,source,confidence,timestamp,notes
2025_01_DAL_PHI,00-0036389,00-0033077,Jalen Hurts,Dak Prescott,injury_report,confirmed,2025-09-04T14:00:00Z,
2025_01_KC_LAC,00-0036355,00-0033873,Justin Herbert,Patrick Mahomes,injury_report,confirmed,2025-09-04T14:00:00Z,
2025_01_TB_ATL,00-0039917,00-0034855,Michael Penix,Baker Mayfield,depth_chart,confirmed,2025-09-03T10:00:00Z,
2025_01_CIN_CLE,00-0026158,00-0036442,Joe Flacco,Joe Burrow,injury_report,confirmed,2025-09-04T16:30:00Z,Flacco starting for Watson (Achilles)
2025_01_MIA_IND,00-0035710,00-0036212,Daniel Jones,Tua Tagovailoa,beat_writer,probable,2025-09-04T12:00:00Z,Tua cleared protocol
2025_01_CAR_JAX,00-0036971,00-0039150,Trevor Lawrence,Bryce Young,depth_chart,confirmed,2025-09-02T09:00:00Z,
2025_01_LV_NE,00-0039851,00-0030565,Drake Maye,Geno Smith,depth_chart,confirmed,2025-09-03T14:00:00Z,
2025_01_ARI_NO,00-0039376,00-0035228,Kyler Murray,Spencer Rattler,coach_announcement,confirmed,2025-09-04T11:00:00Z,Rattler named starter
2025_01_PIT_NYJ,00-0036945,00-0023459,Justin Fields,Aaron Rodgers,roster_move,confirmed,2025-09-01T08:00:00Z,Rodgers traded to NYJ
2025_01_NYG_WAS,00-0039910,00-0029263,Jayden Daniels,Russell Wilson,injury_report,confirmed,2025-09-04T14:00:00Z,
2025_01_TEN_DEN,00-0039732,00-0040676,Bo Nix,Cam Ward,depth_chart,questionable,2025-09-04T10:00:00Z,Ward limited (ankle)
2025_01_SF_SEA,00-0034869,00-0037834,Sam Darnold,Brock Purdy,depth_chart,confirmed,2025-09-03T11:00:00Z,
2025_01_DET_GB,00-0036264,00-0033106,Jordan Love,Jared Goff,depth_chart,confirmed,2025-09-02T10:00:00Z,
2025_01_HOU_LA,00-0026498,00-0039163,Matthew Stafford,C.J. Stroud,injury_report,confirmed,2025-09-04T14:00:00Z,
2025_01_BAL_BUF,00-0034857,00-0034796,Josh Allen,Lamar Jackson,injury_report,confirmed,2025-09-04T14:00:00Z,
2025_01_MIN_CHI,00-0039918,00-0039923,Caleb Williams,J.J. McCarthy,depth_chart,confirmed,2025-09-02T10:00:00Z,
